FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
O'TOOLE'S RESTAURANT PUB            ,"118 QUAKER ROAD,  QUEENSBURY",01/07/2016,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,7,Glens Falls District Office,WARREN,56-AO36   ,118 QUAKER ROAD,QUEENSBURY,12804    ,565700,QUEENSBURY,O'TOOLE'S RESTAURANT & PUB,09/30/2017,Food Service Establishment,Restaurant,,"HAWKINS RESTAURANTS, INC.",HAWKINS,STEVE,332930,Inspection,"Comment only:  Using a metal stem probe thermometer, cooked potato skins layered ~8 to 10"" high stored in a covered container located inside the walk in cooler were temped at 57 degrees F at 1:20PM.  In discussion with staff, the potato skins were cooked yesterday and stored in a line cooler.  Approximately 30 minutes ago, a staff member pulled out half of the potatoes to prep them and placed the prepped potatoes in the walk in cooler.  The potatoes remaining inside the line cooler were temped at 41 - 43 degrees F.  From the information I was given, food prep was done in less than two hours.  As precaution, staff placed the potatoes on sheet trays, single layered, and placed back inside walk in cooler uncovered to rapidly cool.  

Must correct all violations no later than 1/21/16.  Must send Corey DiLorenzo an email to corey.dilorenzo@health.ny.gov addressing corrective actions taken to all cited violations no later than 1/21/16.",NY,43.331859,-73.662468
LANDMARK INN                        ,"526 ROUTE 94,  WARWICK",12/19/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Orange County,ORANGE,67904     ,526 ROUTE 94  ,WARWICK,10990    ,356700,WARWICK,Landmark Inn,06/30/2016,Food Service Establishment,Food Service Establishment,,"DiMartino, Inc.",DiMartino,Michael,601994,Inspection,,NY,41.23942,-74.37416
TACO BELL #29109                    ,"1412  ROUTE 300,  NEWBURGH",12/11/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Orange County,ORANGE,632687    ,1412  ROUTE 300  ,NEWBURGH,12550    ,356300,NEWBURGH,Taco Bell #29109                    ,10/31/2016,Food Service Establishment,Food Service Establishment,,"Muy Brands, LLC",Villarreal,Liz,602816,Inspection,,NY,41.522538,-74.070767
NEW HAPPY DAYS CAFE                 ,"2517 RT 44 WASH HOLLOW PLZA,  SALT POINT",03/22/2007,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,3,Dutchess County,DUTCHESS,0000669   ,2517 RT 44 WASH HOLLOW PLZA  ,SALT POINT,12578    ,136200,PLEASANT VALLEY,NEW HAPPY DAYS CAFE,05/31/2016,Food Service Establishment,Restaurant,,,UDDIN,MOHD,273923,Re-Inspection,3 remain from previous inspection of 3-12-07,NY,,
FORESTPORT DINER                    ,"12226 WOODHULL ROAD,  FORESTPORT",12/12/2006,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,2,Oneida County,ONEIDA,32-4306  M,12226 WOODHULL ROAD,FORESTPORT,13338    ,325900,FORESTPORT,FORESTPORT DINER,12/31/2016,Food Service Establishment,Food Service Establishment,,,BELLIVEAU,DAVID,290041,Inspection,,NY,43.44188,-75.206538
SANDY'S GRILL                       ,"41 SOUTH STREET,  GLENS FALLS",11/06/2015,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,2,0,31,Glens Falls District Office,WARREN,56-AA93   ,41 SOUTH STREET,GLENS FALLS,12801    ,560100,GLENS FALLS,SANDY'S GRILL,09/30/2016,Food Service Establishment,Restaurant,,"RIDRAH, LTD.",MOZAL,RICHARD ,333155,Inspection,"Comments only:  1.  In discussion with bartender, a drink shaker is used to scoop drink ice from the ice bins at the bar.  Provided education.  Must use a scoop with a handle to prevent bare hand or knuckle contact with the drink ice.  2.  No identification tag or receipt of purchase available for approximately 300 raw shell Maine Mahogany Clams located inside the walk in cooler.  In discussion with Ron, the clams were purchased Saturday by a staff member at the Price Chopper at Upper Glen St. in Queensbury.  Nobody at the facility could supply a tag or receipt of purchase.  Provided education.  Corrected, owner showed up prior to the end of the inspection and gave me a copy of a receipt for 300 clams purchased on October 27, 2015 from Price Chopper for Maine Mohagony clams.  

Must correct all violations no later than 11/30/15.  Must send Corey DiLorenzo an email to corey.dilorenzo@health.ny.gov addressing corrective actions taken to all cited violations no later than 11/30/15.",NY,43.309638,-73.6472
HOT BAGELS & BIALYS                 ,"1152 WILLIS  AVENUE,  ALBERTSON",09/16/2014,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,1,0,5,Nassau  County,NASSAU,07916-04  ,1152 WILLIS  AVENUE,ALBERTSON,11507    ,295101,N. HEMPSTEAD,HOT BAGELS & BIALYS,03/31/2017,Food Service Establishment,Delicatessen,,1152 BAGELS AND BIALYS CORP,,,828526,Re-Inspection,,NY,,
FIVE ACRES TAVERN                   ,"302 COUNTY ROUTE 60,  WAVERLY",04/23/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Chemung County,CHEMUNG,01224-01  ,302 COUNTY ROUTE 60  ,WAVERLY,14892    ,075400,CHEMUNG,FIVE ACRES TAVERN,11/15/2016,Food Service Establishment,Food Service Establishment,,"FIVE ACRES TAVERN, LLC",ROBINSON,MARY,883913,Inspection,TTOC for above violations is 5/21/15. Violation 15a partially corrected from previous inspection. Wooden shelves in walk-in cooler have been painted. Three of the four walls in the walk-in cooler have had the seams caulked.,NY,42.066502,-76.556717
OLIVERIS PIZZERIA                   ,"14 LEBANON  STREET,  HAMILTON",03/24/2010,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,2,0,13,Madison County,MADISON,26-AH117  ,14 LEBANON  STREET,HAMILTON,13346    ,262500,HAMILTON,OLIVERIS PIZZERIA,03/31/2017,Food Service Establishment,Restaurant,,"GIGLIOTTI CHEESE FACTORY, INC.",CLARE,MICHAEL,717303,Inspection,"15A-FLOOR IN BASEMENT IN KITCHEN AREAS NTO SMOOTH AND CLEANABLE
15A-FLOOR UNCLEAN IN BASEMENT AND KITCHEN AREAS. FLOOR UNCLEAN INSIDE WALK IN COOLER
10B-FOOD UTENSIL STORAGE SHELF NOT SMOOTH AND CLEANABLE
15A-WALLS AND CEILING IN DISREPAIR AND NOT SMOOTH AND CLEANABLE IN BASEMETN FOOD STORAGE AREA
15A-WALL IN DISREPAIR IN KITCHEN
8E-THERMOMETER MISSING INSIDE PIZZA COOLER
11D-OUTSIDE AREA OF FOOD EQUIPMENT UNCLEAN
11C-INSIDE AREA OF PROOFER UNCLEAN
12C-UTILITY SINK UNCLEAN. EMPLOYEE HANDWASH SINK UNCLEAN
12E-EMPLOYEE HANDWASH SINK NOT ACCESSIBLE AND MISSING SOAP AND PAPER TOWELS
10A-CUTTING BOARD IN DISREPAIR WITH INADEQUATE SURFACE AREA
9C-ALL EMPLOYEE FOOD SERVICE WORKERS LACK HAIR RESTRAINTS
11C-BLADE OF CAN OPENER UNCLEAN
2C-ONE CARTON OF RAW SHELL EGGS STORED ABOVE READY TO EAT FOOD PRODUCT INSIDE BOTTOM OF DELI COOLER. CORRECTED: EGGS PLACED ON BOTTOM SHELF
1H-SPOILED FOOD INCLUDING ONIONS STORED INSIDE ALK IN COOLER ON FOOD STORAGE SHELF (CORRECTED: ALL SPOILED FOOD VOLUNTARILY DISCARDED",NY,42.826548,-75.545438
NEW YORK PIZZERIA -CHITTENANGO      ,"239 GENESEE STREET,  CHITTENANGO",07/28/2011,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,3,0,11,Madison County,MADISON,26-AB28   ,239 GENESEE STREET,CHITTENANGO,13037    ,262900,SULLIVAN,NEW YORK PIZZERIA -CHITTENANGO,04/30/2013,Food Service Establishment,Restaurant,,,COOPER,MARK,280760,Inspection,"(6A) 6 SAUSAGE ROLLS AT 125'F FOR LESS THAN 1 HR(CORRECTED:SSG ROLLS REHEATED TO 165'F & HELD AT 140'F)
(5A) APPROX 5LBS OF SHREDDED CHEESE HELD AT 49'F ON PREP TABLE(CORR:PLACED UNDER DIRECT REFRIG)
(1B) ICE IN ICE BIN DISCOLORED, CONTAINS RUST(CORR:ICE DISCARDED, BIN REMOVED FROM SERVICE)
(11D) FAN IN REAR STORAGE ROOM UNCLEAN.BOTTOM OF 1 DOOR COOLER UNCLEAN.BOX FAN BY PREP TABLE UNCLEAN.FAN IN DINING AREA UNCLEAN.FAN COVERS IN WALK IN COOLER UNCLEAN.GREASE TRAP UNCLEAN.
(9C) FOOD SERVICE WRKR OBSERVED W/O PROPER HAIR RESTRAINT(CORRECTED)
(11C) INTERIOR OF 1 DOOR COOLER NEAR PREP TABLE UNCLEAN.INTERIOR OF SAUCE CABINET UNCLEAN.
(15A) FLOOR & WALL NEAR DEEP FRYER UNCLEAN.FLOOR OF WALK IN COOLER UNCLEAN.WALL BEHIND 3 BAY SINK UNCLEAN.FLOOR UNDER 3 BAY SINK UNCLEAN.EMPLOYEE RESTROOM UNCLEAN.EMPLOYEE RSTRM WALLS NOT SMOOTH & CLEANABLE-BASEBOARD IN DISREPAIR.EXCESSIVE PONDING OF WATER ON MOP ROOM FLOOR.WALLS & FLOORS IN REAR FOOD STORAGE AREA UNCLEAN.
(12E) HANDWASH SINK UNCLEAN
(8D) CUPS IN CONTACT W/ UNCLEAN SURFACE
(8A) ICE SCOOP HANDLE STORED IN ICE.50LB BAG OF SALT STORED ON FLOOR.
(14A) INSECTS PRESENT IN 2 DOOR COKE COOLER
(10B) PLASTIC DUNAGE RACKS IN WALK IN COOLER CONTAIN MOLD
(14B) RODENT DROPPINGS PRESENT IN SINK AREA.SCREEN DOOR IN REAR STORAGE AREA CONTAINS HOLES.
(12C) 3 BAY SINK UNCLEAN.MOP SINK UNCLEAN.",NY,43.045089,-75.866621
NEW YORK PIZZERIA -CHITTENANGO      ,"239 GENESEE STREET,  CHITTENANGO",08/09/2011,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,2,0,7,Madison County,MADISON,26-AB28   ,239 GENESEE STREET,CHITTENANGO,13037    ,262900,SULLIVAN,NEW YORK PIZZERIA -CHITTENANGO,04/30/2013,Food Service Establishment,Restaurant,,,COOPER,MARK,280760,Re-Inspection,"6A-THREE SAUSAGE ROLLS AT 130 DEG. F FOR LESS THAN TWO HRS IN HOT HOLDING UNIT. (CORRECTED:VOLUNTARILY DISCARDED)
11D-FAN IN REAR STORAGE ROOM UNCLEAN.
11C-INTERIOR OF SAUCE CABINET UNCLEAN
15A-FLOOR AND WALL UNDER DEEP FRYER UNCLEAN
14A-INSECTS PRESENT IN TWO DOOR COKE COOLER
10B-PLASTIC DRAINAGE RACKS IN WALKIN COOLER CONTAIN MOLD.
11D-FAN COVERS IN WALKIN COOLER UNCLEAN
14B-RODENT DROPPINGS PRESENT IN SINK AREA
15A-EMPLOYEE RESTROOM WALLS NOT SMOOTH AND CLEANABLE, BASEBOARD IN DISREPAIR.
10B-COVER ON CHEST FREEZER IN DISREPAIR-INSULATION MISSING
11D-DOOR SEAL ON ONE DOOR COOLER NEAR PREP TABLE UNCLEAN
12E-PAPER TOWELS MISSING AT HANDWASH SINK
2E-PRODUCT STEM THERMOMETER NOT UTILIZED(CORRECTED-CALIBRATION CHECKED)",NY,43.045089,-75.866621
NEW YORK PIZZERIA -CHITTENANGO      ,"239 GENESEE STREET,  CHITTENANGO",05/28/2014,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,6,Madison County,MADISON,26-AB28   ,239 GENESEE STREET,CHITTENANGO,13037    ,262900,SULLIVAN,NEW YORK PIZZERIA -CHITTENANGO,04/30/2013,Food Service Establishment,Restaurant,,,COOPER,MARK,280760,Inspection,VENTS OVER FRYER RECENTLY CLEANED. DISCUSSED CLEANING SCHEDULE OF MINI-FRIDGES. DISCUSSED REPEAT VIOLATIONS.,NY,43.045089,-75.866621
MAMA VENEZIA PIZZA                  ,"420  NEWBRIDGE ROAD,  HICKSVILLE",07/31/2008,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,7,Nassau  County,NASSAU,02651-03  ,420  NEWBRIDGE ROAD,HICKSVILLE,11801    ,295205,OYSTER BAY,MAMA VENEZIA PIZZA,04/30/2017,Food Service Establishment,Restaurant,,MAMA VENEZIA PIZZA INC.,,,674836,Inspection,,NY,40.747946,-73.533792
NORTH SHORE INN @ 1ST BAPTIST CHURCH,"7 CONTINENTAL  PLACE,  GLEN COVE",11/25/2008,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,3,Nassau  County,NASSAU,11205-01  ,7 CONTINENTAL  PLACE,GLEN COVE,11542    ,299900,NASSAU SCHOOLS,NORTH SHORE INN @ 1ST BAPTIST CHURCH,07/31/2016,Institutional Food Service,Nutrition for the Indigent,NORTH SHORE INN @ 1ST BAPTIST CHURCH,INTER FAITH NUTRITION NETWORK INC,MOORE,ESTELLE,574647,Inspection,,NY,40.862461,-73.631882
HILDEBRANDT'S                       ,"84 HILLSIDE  AVENUE,  WILLISTON PARK",01/27/2009,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,1,0,6,Nassau  County,NASSAU,05437-01  ,84 HILLSIDE  AVENUE,WILLISTON PARK,11596    ,296000,N. HEMPSTEAD,HILDEBRANDT'S,11/30/2016,Food Service Establishment,Food Service Establishment,HILDEBRANDTS,HILDEBRANDT STRAND CORP,,,573808,Inspection,,NY,40.757168,-73.642447
"WHITE HOUSE RESTAURANT  INC., THE   ","95 MILTON AVENUE,  BALLSTON SPA",08/14/2014,14B,"Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin",Not Critical Violation,3,0,18,Glens Falls District Office,SARATOGA,45-AA39   ,95 MILTON AVENUE,BALLSTON SPA,12020    ,452001,MILTON,"WHITE HOUSE RESTAURANT, INC., THE",06/30/2017,Food Service Establishment,Restaurant,,"THE WHITE HOUSE RESTAURANT, INC.",FABIAN,DAVID ,336800,Inspection,,NY,43.003972,-73.84904
PORRECA'S RESTAURANT                ,"2897 LAKE SHORE DRIVE,  LAKE GEORGE",08/07/2015,14B,"Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin",Not Critical Violation,3,0,11,Glens Falls District Office,WARREN,56-AL04   ,2897 LAKE SHORE DRIVE,LAKE GEORGE,12845    ,562000,LAKE GEORGE,PORRECA'S RESTAURANT,06/30/2017,Food Service Establishment,Food Service Establishment,,"BIG RAGU, INC.",PORRECA,CARMEN,524666,Inspection,There is no vacuum sealing of any food product without an approved waiver. The cryovac machine should be removed from kitchen area as soon as possible. No vacuum sealed food product found at facility. Staff stated the cryovac was used for sauces for dinners but facility is no longer making dinners. Email inspector by 9/1/15 with a list of corrective actions for each violation.  If more time is needed for corrective actions email plans for how violations will be fixed.,NY,43.432464,-73.711684
CHINA CITY RESTAURANT               ,"7 RIVER STREET,  SIDNEY",05/01/2015,14B,"Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin",Not Critical Violation,1,0,14,Oneonta District Office,DELAWARE,12-AB21   ,7 RIVER STREET,SIDNEY,13838    ,122700,SIDNEY,CHINA CITY RESTAURANT,06/30/2017,Food Service Establishment,Restaurant,,,Pan,Mr. Zi Fu,353846,Inspection,"Discussed the deficiencies with the operator using an interpreter, Julia.  The operator will remove all of the food items and single service items from the shed.  The following food temperatures were measured (degrees F):  Walk-In Cooler - Egg Rolls - 41.5 and 41.0; Upper Compartment Bain Marie - Raw Beef - 43.9, Raw Shrimp - 39.9; Hot Held Items - Sweet and Sour Sauce - 174.2, Egg Drop Soup - 159.9, Cooked White Rice - 159.4, Fried Rice - 188.9.  The Ventilation Hood was checked in April 2015.  Report e-mailed.",NY,42.31549,-75.393334
RED FOX RESTAURANT                  ,"5034 STATE,  SARANAC LAKE",11/06/2014,14B,"Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin",Not Critical Violation,2,0,6,Saranac Lake District Office,FRANKLIN,16-BB67   ,5034 STATE  ,SARANAC LAKE,12983    ,166300,HARRIETSTOWN,RED FOX RESTAURANT,07/31/2016,Food Service Establishment,Restaurant,,,RADONCIC,TAHIR,358920,Inspection,Sanitizer was detected in the dishwasher but the DOH inspector was unable to determine if the sanitizer level was high enough. Please contact Ecolab to determine if sanitizer feed needs to be adjusted.,NY,44.315601,-74.153341
CAVALLARIO BAYSIDE                  ,"54 JAMES STREET,  ALEXANDRIA BAY",07/25/2013,14B,"Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin",Not Critical Violation,2,0,12,Watertown District Office,JEFFERSON,22-AB24   ,54 JAMES STREET  ,ALEXANDRIA BAY,13607    ,222100,ALEXANDRIA,CAVALLARIO BAYSIDE,09/30/2016,Food Service Establishment,Restaurant,Cavallario Bayside,"Cavallario's Bayside, Inc.",Cavallario,Peter,362482,Inspection,,NY,44.338304,-75.917517
FROSINONE SOCCER CLUB               ,"1035 HEMPSTEAD  TURNPIKE,  FRANKLIN SQUARE",11/03/2010,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,1,0,1,Nassau  County,NASSAU,03455-01  ,1035 HEMPSTEAD  TURNPIKE,FRANKLIN SQUARE,11010    ,295015,HEMPSTEAD,FROSINONE SOCCER CLUB,02/28/2017,Institutional Food Service,"Religious, Charitable, Fraternal Organization",,,MATOZZO,TEDDY,569701,Inspection,,NY,40.70764,-73.678792
HAO WAY RESTAURANT                  ,"105  ROCKAWAY  AVENUE,  VALLEY STREAM",06/02/2011,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,2,0,8,Nassau  County,NASSAU,06116-02  ,105  ROCKAWAY  AVENUE,VALLEY STREAM,11580    ,291000,HEMPSTEAD,HAO WAY RESTAURANT,08/31/2016,Food Service Establishment,Food Service Establishment,,HAO WAY RESTAURANT INC.,,,750831,Inspection,,NY,40.662733,-73.698887
EL PEQUENO MEXICO                   ,"70 GUY LOMBARDO,  FREEPORT",09/26/2011,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,3,0,5,Nassau  County,NASSAU,16993-06  ,70 GUY LOMBARDO  ,FREEPORT,11520    ,290400,HEMPSTEAD,MI PEQUENO MEXICO,07/31/2016,Food Service Establishment,Restaurant,,QUE VIVA MEXICO INC.,,,788283,Inspection,,NY,40.654675,-73.584779
CLINTON DELI                        ,"426 CLINTON  STREET,  HEMPSTEAD",05/17/2013,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,1,0,5,Nassau  County,NASSAU,01746-06  ,426 CLINTON  STREET,HEMPSTEAD,11550    ,290600,HEMPSTEAD,CLINTON DELI,05/31/2016,Food Service Establishment,Delicatessen,CLINTON DELI,CLINTON DELICATESSEN INC,,,571838,Re-Inspection,,NY,40.718969,-73.620668
WENDY'S OLD FSHND HMBRGRS#168-2496  ,"1730 HEMPSTEAD  TURNPIKE,  EAST MEADOW",05/14/2014,14C,Pesticide application not supervised by a certified applicator,Not Critical Violation,1,0,5,Nassau  County,NASSAU,17172-02  ,1730 HEMPSTEAD  TURNPIKE,EAST MEADOW,11554    ,295012,HEMPSTEAD,WENDY'S OLD FASHIONED HAMBURGERS,03/31/2017,Food Service Establishment,Food Service Establishment,,WENDY'S HAMBURGERS OF NY LLC,,,579283,Inspection,,NY,40.723575,-73.570498
